year,month,u10,v10,mx2t,mn2t,tcc,t2,msl,t,q,u,v,z,SPI,grid_ID
1989,10,0.118474016,-0.46188263,303.4413167,289.4485956,0.204646448,296.1678929,101255.8039,293.7776676,0.00526919,-2.405765741,-3.639285442,828.6160505,0.09814099,303
1989,11,-1.302602154,-0.267776027,302.8589142,291.6324412,0.442927035,297.2054555,101261.5349,294.4207143,0.006685117,-3.299503227,-2.766108944,862.2801951,-0.032881918,303
1989,12,-0.635096643,-0.114901738,306.4662101,293.9289738,0.254986932,300.635057,101119.2931,297.8897872,0.007137427,-2.78928377,-3.395592886,761.1151763,0.317820766,303
1989,2,-2.294651137,0.262143586,305.7999682,294.4321333,0.394921177,300.1336921,100966.5784,297.2842211,0.007989189,-3.96227307,-2.451795111,617.4457964,-0.90518153,303
1989,3,-1.816710367,-0.766557581,303.9602385,294.5930461,0.528642391,299.1233373,101325.9514,296.5214263,0.01063118,-3.195423192,-2.92892668,915.6340923,0.962284125,303
1989,4,-2.053445299,1.017326131,298.5326304,289.7016958,0.45758534,294.3739003,101430.6266,293.168632,0.009809083,-3.46465426,-1.115901937,1020.894786,1.398351738,303
1989,5,-1.721297133,0.399453911,295.5876829,287.6102472,0.557289185,291.4407122,101664.8521,290.5564083,0.008978072,-3.282626012,-1.750878118,1242.360255,1.908333632,303
1989,6,-0.390347373,1.1878412,289.2534749,280.6854045,0.45652665,284.7568522,102011.4016,283.9507996,0.005757539,-1.625479201,-0.316683798,1482.270402,1.247785307,303
1989,7,-0.146774201,0.412112482,289.7323904,279.7431375,0.404475409,284.4322146,101924.8858,283.7825819,0.004886891,-1.5416781,-1.309538816,1410.583919,0.324055406,303
1989,8,-0.316178128,1.576026894,291.9014351,278.5146514,0.165027605,284.9372746,101948.5255,284.3219171,0.003796736,-2.118954898,-0.359889524,1422.362269,-0.926170626,303
1989,9,-0.524883874,0.852834731,298.4378418,283.5281301,0.061531175,290.6915538,101668.0633,289.25012,0.003830714,-2.448339768,-1.741068805,1170.199561,-1.194740043,303
1990,1,-1.326294486,-0.967155565,309.6543609,297.8345583,0.406551646,303.665738,100882.5605,300.8537844,0.008267306,-3.11538534,-4.350150826,580.1320117,-0.776615282,303
1990,10,-0.347397045,0.233974228,301.9483859,288.4570185,0.201695591,295.0967299,101503.7147,293.3069094,0.005085908,-2.312416757,-2.463001367,1057.686418,-0.511650283,303
1990,11,-0.985452434,0.024089462,306.6585744,293.9029755,0.151408377,300.3095662,101184.201,297.0498779,0.005562268,-3.216131846,-3.038509081,785.1951201,-1.526668312,303
1990,12,-1.515330379,-1.096573117,308.2538196,296.4022463,0.341215749,302.3165628,100907.6683,299.0741961,0.008219278,-3.62767118,-3.622172322,556.4567108,-0.661567824,303
1990,2,-0.539469367,1.116255846,306.4375153,294.7090389,0.303126534,300.3890621,101129.8689,297.7430954,0.007722937,-2.539044933,-1.351277721,748.733126,-0.341934272,303
1990,3,-2.653108266,0.873501159,302.5900968,292.9495594,0.476069437,297.6334681,101280.8407,296.2645677,0.009380685,-3.885346928,-1.589979127,887.8868005,1.268982117,303
